ID,Size,Type,"Date Commissioned",Length,"Water Supply System","Water Source","Off-Take Point",Barangay
2951,75,PVC,1998-02-09,315.354,"{""type"":""MultiLineString"",""coordinates"":[[[125.631853,7.105084],[125.631007,7.105638],[125.62947,7.106654]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
2952,50,PVC,1998-02-09,284.806,"{""type"":""MultiLineString"",""coordinates"":[[[125.632139,7.105618],[125.632095,7.106144],[125.632052,7.106167],[125.63198,7.106231],[125.630828,7.107746]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
2953,50,PVC,1998-02-09,70.271,"{""type"":""MultiLineString"",""coordinates"":[[[125.631853,7.105084],[125.632112,7.105384],[125.632129,7.105421],[125.632136,7.105443],[125.632142,7.105484],[125.632139,7.105618]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
2961,50,PVC,1998-02-09,362.854,"{""type"":""MultiLineString"",""coordinates"":[[[125.627722,7.106337],[125.626702935,7.105776252],[125.62646824,7.105645383],[125.626412999,7.105646499],[125.626362033,7.105725696],[125.626315248,7.105813217],[125.626267414,7.105895533],[125.626258099,7.10594448],[125.626273786,7.105982982],[125.626495,7.106105],[125.627513,7.106669]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
2962,50,PVC,1998-02-09,129.892,"{""type"":""MultiLineString"",""coordinates"":[[[125.627513,7.106669],[125.62788,7.106884],[125.62799,7.106942],[125.628152,7.107053],[125.628485,7.107324]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
2964,50,PVC,1998-02-09,233.905,"{""type"":""MultiLineString"",""coordinates"":[[[125.62879,7.104224],[125.628836,7.105252],[125.628917,7.106335]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
2965,50,PVC,1998-02-09,65.081,"{""type"":""MultiLineString"",""coordinates"":[[[125.627722,7.106337],[125.627872,7.106362],[125.628309,7.106369]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
2966,50,PVC,1998-02-09,67.271,"{""type"":""MultiLineString"",""coordinates"":[[[125.628309,7.106369],[125.628917,7.106335]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
2967,50,PVC,1998-02-09,259.898,"{""type"":""MultiLineString"",""coordinates"":[[[125.628235,7.104044],[125.628166,7.104175],[125.628153,7.104217],[125.628151,7.104284],[125.628192,7.104945],[125.628309,7.106369]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
2968,50,PVC,1998-02-09,65.172,"{""type"":""MultiLineString"",""coordinates"":[[[125.62879,7.104224],[125.628643,7.104211],[125.628542,7.104186],[125.628235,7.104044]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
2972,50,PVC,1998-02-09,174.506,"{""type"":""MultiLineString"",""coordinates"":[[[125.626467,7.102329],[125.626469206,7.102333133],[125.626532,7.102452],[125.62658,7.102529],[125.626636,7.102585],[125.626668,7.102611],[125.626713,7.10264],[125.627484,7.103069],[125.627744,7.103204]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
2978,75,PVC,1998-02-09,59.237,"{""type"":""MultiLineString"",""coordinates"":[[[125.62947,7.106654],[125.629217,7.106829],[125.629066205,7.106908048],[125.62904,7.106923],[125.629014908,7.106935448]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
2979,200,PVC,1998-02-09,66.704,"{""type"":""MultiLineString"",""coordinates"":[[[125.628953,7.106336],[125.628994,7.106828],[125.629014908,7.106935448]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
2980,50,PVC,1998-02-09,282.359,"{""type"":""MultiLineString"",""coordinates"":[[[125.627255,7.108843],[125.627462,7.109011],[125.628884,7.110167],[125.629172,7.109814]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
2981,75,PVC,1998-02-09,49.461,"{""type"":""MultiLineString"",""coordinates"":[[[125.627535,7.108494],[125.627255,7.108843]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
2983,50,PVC,1998-02-09,49.438,"{""type"":""MultiLineString"",""coordinates"":[[[125.629459,7.109471],[125.629172,7.109814]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
2984,75,PVC,1998-02-09,46.821,"{""type"":""MultiLineString"",""coordinates"":[[[125.627798,7.108162],[125.627535,7.108494]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
2986,50,PVC,1998-02-09,60.321,"{""type"":""MultiLineString"",""coordinates"":[[[125.6298,7.109045],[125.629637,7.109248],[125.629459,7.109471]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
2987,75,PVC,1998-02-09,60.986,"{""type"":""MultiLineString"",""coordinates"":[[[125.628143121,7.107731584],[125.627798,7.108162]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
2989,50,PVC,1998-02-09,120.08,"{""type"":""MultiLineString"",""coordinates"":[[[125.630828,7.107746],[125.630652,7.107984],[125.630383,7.108322],[125.630157,7.1086]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
2990,50,PVC,1998-02-09,63.065,"{""type"":""MultiLineString"",""coordinates"":[[[125.630157,7.1086],[125.6298,7.109045]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
2991,75,PVC,1998-02-09,71.251,"{""type"":""MultiLineString"",""coordinates"":[[[125.629014908,7.106935448],[125.628997,7.106944],[125.628769,7.107045],[125.62869,7.107091],[125.628502,7.107304]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
3168,200,PVC,1998-02-09,900.262,"{""type"":""MultiLineString"",""coordinates"":[[[125.62768,7.099789],[125.627673,7.099813],[125.627623,7.099966],[125.62754,7.100168],[125.627263,7.100714],[125.627036,7.101155],[125.626815,7.101582],[125.626629,7.101941],[125.62645,7.102284],[125.626482,7.102298],[125.626549,7.102424],[125.626613,7.102518],[125.626647,7.10255],[125.626707,7.1026],[125.626772,7.102642],[125.627561,7.10307],[125.627836,7.103221],[125.628596,7.10362],[125.628638,7.103651],[125.628723,7.103739],[125.628761,7.103801],[125.628786,7.103859],[125.628801,7.103901],[125.628808,7.103957],[125.628836,7.10444],[125.628868,7.10529],[125.628953,7.106336]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
3169,50,PVC,1998-02-09,176.268,"{""type"":""MultiLineString"",""coordinates"":[[[125.627744,7.103204],[125.628579,7.103643],[125.628624,7.103678],[125.628692,7.103748],[125.628738,7.103819],[125.628762,7.10387],[125.628772,7.103913],[125.628779,7.103962],[125.62879,7.104224]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
3170,50,PVC,1998-02-09,140.747,"{""type"":""MultiLineString"",""coordinates"":[[[125.627744,7.103204],[125.62757,7.103545],[125.627559,7.103593],[125.627561,7.103615],[125.627565,7.103638],[125.627577,7.103664],[125.627595,7.103699],[125.627631,7.103728],[125.628235,7.104044]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
17267,75,PVC,1998-02-09,2.902,"{""type"":""MultiLineString"",""coordinates"":[[[125.628502,7.107304],[125.628485,7.107324]]]}","Dumoy Water Supply System","Bulk Water","Dumoy Panorama","ALFONSO ANGLIONGTO Sr."
